id,timestep,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,odor,velocity_a,acceleration_x,acceleration_y,acceleration_z,acceleration_a,heading_xy,heading_xz,heading_xyz,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_a,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,angular_acceleration_a,distance_from_wall,trajectory_id
19024784,77,-0.178071,-0.13525,-0.0270296,-0.0595586,-0.0917768,-0.0125449,400.0,0.110125,-0.285255,1.84418,-0.380179,1.90445,57.0184,11.8944,57.2601,4.8603,-1.56551,-11.6218,12.6941,70.9325,20.4824,-514.411,519.682,0.01475,s20140924_123536_3110
19024785,78,-0.178683,-0.136069,-0.0271717,-0.0628497,-0.0714563,-0.0157533,400.0,0.0964586,-0.330075,2.13582,-0.304515,2.18252,48.6666,14.0713,49.3398,6.05232,-1.50571,-17.3166,18.4055,148.328,-30.6494,-521.521,543.07,0.013931,s20140924_123536_3110
19024786,79,-0.179328,-0.136672,-0.0273435,-0.0661601,-0.0490604,-0.0186352,400.0,0.0844473,-0.283505,2.189,-0.311735,2.22919,36.5584,15.7308,38.4226,7.82687,-2.1785,-22.0523,23.5012,132.431,-117.655,-247.023,303.975,0.013328,s20140924_123536_3110
19024787,80,-0.180003,-0.137053,-0.0275459,-0.0685198,-0.0276763,-0.021988,400.0,0.0771,-0.15918,1.91998,-0.38804,1.96525,21.9946,17.7914,27.288,8.70094,-3.8588,-22.2571,24.2069,-27.8035,-179.754,264.167,320.731,0.012947,s20140924_123536_3110
19024788,81,-0.180694,-0.13724,-0.0277868,-0.0693437,-0.0106609,-0.026396,400.0,0.0749597,-0.01696,1.37599,-0.479965,1.45739,8.74022,20.8396,22.3196,7.2708,-5.77357,-16.7689,19.1676,-234.427,-114.895,677.037,725.628,0.01276,s20140924_123536_3110
19024789,82,-0.181385,-0.137288,-0.0280765,-0.068859,-0.000156563,-0.0315873,400.0,0.0757585,0.067005,0.72204,-0.48228,0.870876,0.130272,24.6421,24.6423,4.0124,-6.1567,-8.71636,11.4008,-327.466,69.1836,747.362,818.884,0.012712,s20140924_123536_3110
19024790,83,-0.18207,-0.137265,-0.0284161,-0.0680036,0.0037799,-0.0360416,400.0,0.077057,0.066255,0.15136,-0.344975,0.382501,3.18144,27.9234,28.0533,0.721474,-4.3899,-1.82168,4.80731,-282.484,214.22,572.485,673.37,0.012735,s20140924_123536_3110
19024791,84,-0.182747,-0.137229,-0.0287906,-0.0675339,0.00287064,-0.0384868,400.0,0.0777837,0.027715,-0.245963,-0.15069,0.289781,2.43399,29.6783,29.7467,-1.63728,-1.87229,2.73334,3.69558,-196.695,220.465,368.452,472.282,0.012771,s20140924_123536_3110
19024792,85,-0.183422,-0.137218,-0.0291796,-0.0674493,-0.00113935,-0.0390554,400.0,0.0779489,0.006285,-0.498588,0.00541,0.498657,0.967745,30.0723,30.0828,-3.21244,0.0193966,5.54736,6.41041,-127.074,139.979,221.734,291.39,0.012782,s20140924_123536_3110
19024793,86,-0.184096,-0.137258,-0.0295676,-0.0674082,-0.00710112,-0.0383786,400.0,0.0778923,0.019425,-0.642783,0.094475,0.649979,6.01365,29.6549,30.0713,-4.17877,0.927293,7.16802,8.34881,-65.9513,41.7384,115.37,139.291,0.012742,s20140924_123536_3110
19024794,87,-0.184769,-0.137363,-0.0299454,-0.0670608,-0.013995,-0.0371659,400.0,0.0779379,0.062325,-0.698874,0.11189,0.710513,11.7879,28.9957,30.6341,-4.53146,0.854164,7.85476,9.1083,-5.96985,-35.9645,28.9585,46.5584,0.012637,s20140924_123536_3110
19024795,88,-0.185435,-0.137538,-0.0303115,-0.0661617,-0.0210786,-0.0361408,400.0,0.0782805,0.11168,-0.68231,0.08006,0.696009,17.6715,28.6456,32.308,-4.29817,0.208002,7.74719,8.86208,50.8103,-61.0931,-58.0697,98.4182,0.012462,s20140924_123536_3110
